thermo_style    custom step time temp ke pe etotal press vol f_tpi[1]
run             500000
Per MPI rank memory allocation (min/avg/max) = 3.654 | 3.654 | 3.654 Mbytes
Step Time Temp KinEng PotEng TotEng Press Volume f_tpi[1] 
   10000           20    1.4058168    2.1066165   -4.7369471   -2.6303305    2.1196838    1315.7895            0 
   10050         20.1    1.4162723    2.1222841    -4.717096    -2.594812    2.2172187    1315.7895  -0.85538754 
   10100         20.2    1.4223051    2.1313242   -4.6994945   -2.5681703    2.2926983    1315.7895   -1.1483872 
   10150         20.3    1.3731866    2.0577202   -4.6942736   -2.6365534     2.339231    1315.7895     2.948639 
   10200         20.4    1.3742924    2.0593771   -4.7272601   -2.6678829    2.2302077    1315.7895    5.7322058 
   10250         20.5    1.3919101    2.0857773   -4.7094372   -2.6236599    2.3187105    1315.7895   -1.1345153 
   10300         20.6    1.3797164     2.067505    -4.682649    -2.615144    2.4562183    1315.7895 -0.0014234565 
   10350         20.7    1.4428205    2.1620665   -4.6990102   -2.5369437    2.3927646    1315.7895    3.5063176 
   10400         20.8    1.4206858    2.1288977   -4.6469906   -2.5180929    2.5930572    1315.7895   0.56602724 
   10450         20.9    1.4020566    2.1009818    -4.648473   -2.5474912    2.5755075    1315.7895 -0.024820365 
   10500           21    1.3996506    2.0973764   -4.6673926   -2.5700162    2.4796763    1315.7895  -0.21424635 
   10550         21.1     1.445007     2.165343   -4.7314809   -2.5661378    2.2114328    1315.7895    6.9950505 
   10600         21.2    1.3857136    2.0764919   -4.6613168   -2.5848249    2.4492705    1315.7895    1.1036674 
   10650         21.3    1.4129862    2.1173598   -4.7057823   -2.5884225    2.3176299    1315.7895   -1.3749739 
   10700         21.4    1.4250101    2.1353776   -4.7116681   -2.5762905    2.3540689    1315.7895   0.16111659 
   10750         21.5    1.3852077    2.0757337   -4.7068528   -2.6311191    2.2990722    1315.7895  -0.67168416 
   10800         21.6     1.434368    2.1494004   -4.7991512   -2.6497508    1.9767473    1315.7895    3.4746596 
   10850         21.7    1.3840333    2.0739738   -4.7307832   -2.6568094    2.2446423    1315.7895    4.0958671 
   10900         21.8    1.3268172    1.9882356   -4.7511836   -2.7629479    2.0909715    1315.7895    2.0213303 
   10950         21.9    1.3765058     2.062694   -4.7892752   -2.7265812    1.9149861    1315.7895     5.734755 
   11000           22    1.3178411    1.9747849   -4.7343863   -2.7596014    2.1683785    1315.7895    1.5359965 
   11050         22.1    1.3378276    2.0047347   -4.7587948   -2.7540601    2.0696533    1315.7895    1.6671424 
   11100         22.2    1.3133499    1.9680548   -4.7941625   -2.8261077    1.9136365    1315.7895    7.0840585 
   11150         22.3     1.342374    2.0115474   -4.7687575   -2.7572101    2.0371701    1315.7895   0.70737397 
   11200         22.4    1.3502532    2.0233545   -4.7594354   -2.7360809    2.0567952    1315.7895     4.818946 
   11250         22.5    1.3557534    2.0315965   -4.7749983   -2.7434018    2.0627068    1315.7895     3.469277 
   11300         22.6    1.2944093    1.9396724   -4.7395503   -2.7998779    2.1927072    1315.7895    9.0742486 
   11350         22.7    1.3408289    2.0092321   -4.7428853   -2.7336533    2.1970621    1315.7895   -1.5019834 
   11400         22.8    1.2978971    1.9448987   -4.7247733   -2.7798746     2.210217    1315.7895    1.9032676 
   11450         22.9    1.3829167    2.0723006   -4.8080166    -2.735716    1.9335456    1315.7895    4.3094702 
   11500           23    1.3440574      2.01407   -4.7456882   -2.7316182    2.1615593    1315.7895  -0.91867424 
   11550         23.1    1.4026629    2.1018904    -4.745978   -2.6440877    2.2582089    1315.7895   -1.0146637 
   11600         23.2    1.4017178    2.1004742   -4.7434073   -2.6429331     2.240913    1315.7895    1.2235316 
   11650         23.3    1.3711464    2.0546629   -4.6950446   -2.6403816    2.3667455    1315.7895  0.054231986 
   11700         23.4    1.4425103    2.1616017   -4.7231083   -2.5615066    2.3461732    1315.7895  -0.23864882 
   11750         23.5     1.418142    2.1250858    -4.697989   -2.5729033    2.3801944    1315.7895    8.9985443 
   11800         23.6     1.412321     2.116363   -4.6217712   -2.5054082    2.7233438    1315.7895    3.1294104 
   11850         23.7    1.4668516    2.1980771   -4.6779567   -2.4798796    2.5801723    1315.7895 -0.0075356135 
   11900         23.8    1.4633587     2.192843   -4.6578768   -2.4650338    2.6745114    1315.7895    2.8977447 
   11950         23.9    1.4511615    2.1745655    -4.690636   -2.5160705     2.460864    1315.7895    0.8402213 
   12000           24    1.4500898    2.1729596   -4.7269786    -2.554019     2.261303    1315.7895    1.5359955 
   12050         24.1    1.4123475    2.1164028   -4.7482509   -2.6318481    2.1172734    1315.7895    2.5886105 
   12100         24.2    1.4220717    2.1309745   -4.7663126   -2.6353381    2.0833824    1315.7895  -0.44929913 
   12150         24.3    1.3894662    2.0821151   -4.6991787   -2.6170636    2.3669794    1315.7895    7.3333746 
   12200         24.4    1.4252759     2.135776   -4.6842359   -2.5484599    2.4522183    1315.7895  -0.96831526 
   12250         24.5    1.4006357    2.0988525   -4.7387286   -2.6398761    2.0929074    1315.7895    4.7123604 
   12300         24.6    1.3338399    1.9987591   -4.7151476   -2.7163885    2.2212678    1315.7895    6.5092679 
   12350         24.7    1.3302369      1.99336   -4.6793169    -2.685957    2.3594561    1315.7895   -1.0005508 
   12400         24.8    1.3533492    2.0279938   -4.7175658   -2.6895719    2.2192585    1315.7895    7.9343315 
   12450         24.9    1.3530169    2.0274958   -4.7757827    -2.748287    1.9676998    1315.7895    3.6614993 
   12500           25    1.3655095     2.046216   -4.7195969   -2.6733809    2.2630096    1315.7895    16.228574 
   12550         25.1    1.3491421    2.0216894   -4.6950341   -2.6733447    2.3469984    1315.7895    3.5330354 
   12600         25.2    1.3826074    2.0718372   -4.7455576   -2.6737204    2.1328862    1315.7895    5.0909583 
   12650         25.3    1.3849681    2.0753747   -4.7291056   -2.6537309    2.1779342    1315.7895   -1.6371206 
   12700         25.4    1.4009712    2.0993554   -4.7092433    -2.609888     2.289759    1315.7895   -1.5057674 
   12750         25.5    1.4225142    2.1316376   -4.7889885   -2.6573509    2.0769842    1315.7895    4.6330677 
   12800         25.6    1.3577581    2.0346006   -4.7326514   -2.6980509    2.2007478    1315.7895    1.2993472 
   12850         25.7    1.3679425    2.0498618   -4.7444525   -2.6945907    2.1421949    1315.7895    1.0300958 
   12900         25.8    1.3192618    1.9769138   -4.7807106   -2.8037968    1.8986825    1315.7895  0.021857079 
   12950         25.9    1.3447382    2.0150901   -4.7502433   -2.7351531    2.0661316    1315.7895    3.3882281 
   13000           26    1.3397862    2.0076697   -4.7617626   -2.7540929    2.0961507    1315.7895    1.7837207 
   13050         26.1    1.3239774    1.9839802   -4.7504275   -2.7664473    2.2365107    1315.7895    2.3862636 
   13100         26.2    1.3095029    1.9622901   -4.7852875   -2.8229974    2.0707955    1315.7895   -1.6333705 
   13150         26.3    1.3235581    1.9833519   -4.7716023   -2.7882504    2.1135526    1315.7895    4.9213801 
   13200         26.4    1.3280021    1.9900111   -4.7530792   -2.7630681     2.082823    1315.7895    4.7807272 
   13250         26.5    1.3469325    2.0183784   -4.7829261   -2.7645478    2.0237127    1315.7895  -0.88013197 
   13300         26.6    1.3733857    2.0580185   -4.7765087   -2.7184902    2.0099298    1315.7895   -1.5676233 
   13350         26.7    1.3660246    2.0469879   -4.7123258   -2.6653379    2.2825145    1315.7895    1.0527291 
   13400         26.8    1.3324201    1.9966316   -4.6658056    -2.669174    2.4743124    1315.7895    1.1565935 
   13450         26.9    1.3496847    2.0225025   -4.7008447   -2.6783422    2.3472249    1315.7895    3.5738399 
   13500           27    1.3592171    2.0367869   -4.6916954   -2.6549085    2.4166016    1315.7895    2.3234864 
   13550         27.1    1.3481908    2.0202639   -4.6965008   -2.6762369    2.3963831    1315.7895    3.2648901 
   13600         27.2    1.3954533    2.0910868   -4.7095937   -2.6185069    2.3344266    1315.7895    0.6554857 
   13650         27.3     1.395461    2.0910983   -4.7660039   -2.6749056    2.1329274    1315.7895    1.2310238 
   13700         27.4    1.4020059    2.1009058   -4.7678144   -2.6669086    2.1030527    1315.7895    4.7072969 
   13750         27.5    1.3964803    2.0926257   -4.7163759   -2.6237502    2.3292984    1315.7895    2.1088487 
   13800         27.6    1.3780765    2.0650477   -4.6986768   -2.6336291    2.3779812    1315.7895    5.8413134 
   13850         27.7     1.374854    2.0602188   -4.6983648    -2.638146    2.3274051    1315.7895    3.8863732 
   13900         27.8    1.3972734    2.0938142   -4.7118687   -2.6180545     2.290409    1315.7895    8.2542012 
   13950         27.9     1.433507    2.1481102   -4.7460694   -2.5979592    2.2501513    1315.7895    2.5747038 
   14000           28    1.3958225      2.09164   -4.6813933   -2.5897532    2.4996679    1315.7895    2.6928012 
   14050         28.1    1.4288458    2.1411254   -4.6603577   -2.5192323    2.5645979    1315.7895    1.6134948 
   14100         28.2    1.4327232    2.1469357   -4.6990293   -2.5520936    2.4661979    1315.7895    9.3641132 
   14150         28.3    1.4062871    2.1073213   -4.6485318   -2.5412105     2.653622    1315.7895    -1.292346 
   14200         28.4    1.4846416    2.2247355   -4.6929452   -2.4682097    2.5313449    1315.7895    1.0535769 
   14250         28.5    1.4262385    2.1372184   -4.6646805   -2.5274621    2.5561389    1315.7895   -0.6190301 
   14300         28.6    1.4300751    2.1429675   -4.6700378   -2.5270702    2.5363698    1315.7895   0.84867134 
   14350         28.7     1.484896    2.2251166   -4.7426754   -2.5175587    2.3179219    1315.7895   -1.1035545 
